interacting_pair	variable	pvalue	mean	part1	part2	tissue	Type1	Type2	Type	cell1	cell2
96	ACE2_GHRL	CD8_TRM.CD8_TEM	1	0	CD8_TRM	CD8_TEM	Bladder_cDNA	CD8_TRM	CD8_TEM	CD8_CD8	CD8	CD8
97	ACE2_GHRL	CD8_TRM.CD8_TRM	1	0	CD8_TRM	CD8_TRM	Bladder_cDNA	CD8_TRM	CD8_TRM	CD8_CD8	CD8	CD8
98	ACE2_GHRL	CD8_TRM.DC	1	0	CD8_TRM	DC	Bladder_cDNA	CD8_TRM	DC	CD8_Myeloid	CD8	Myeloid
99	ACE2_GHRL	CD8_TRM.Epi_FABP4	1	0	CD8_TRM	Epi_FABP4	Bladder_cDNA	CD8_TRM	Epi	CD8_Epi	CD8	Epi
100	ACE2_GHRL	CD8_TRM.Fib	1	0	CD8_TRM	Fib	Bladder_cDNA	CD8_TRM	Fib	CD8_Fib	CD8	Fib
101	ACE2_GHRL	CD8_TRM.FibSmo	1	0	CD8_TRM	FibSmo	Bladder_cDNA	CD8_TRM	FibSmo	CD8_FibSmo	CD8	FibSmo
102	ACE2_GHRL	CD8_TRM.Mac	1	0	CD8_TRM	Mac	Bladder_cDNA	CD8_TRM	Mac	CD8_Myeloid	CD8	Myeloid
103	ACE2_GHRL	CD8_TRM.Mon	1	0	CD8_TRM	Mon	Bladder_cDNA	CD8_TRM	Mon	CD8_Myeloid	CD8	Myeloid
104	ACE2_GHRL	CD8_TRM.NK	1	0	CD8_TRM	NK	Bladder_cDNA	CD8_TRM	NK	CD8_NK	CD8	NK
105	ACE2_GHRL	CD8_TRM.Smo	1	0	CD8_TRM	Smo	Bladder_cDNA	CD8_TRM	Smo	CD8_Smo	CD8	Smo
106	ACE2_GHRL	DC.BEC	1	0	DC	BEC	Bladder_cDNA	DC	BEC	Myeloid_Endo	Myeloid	Endo
107	ACE2_GHRL	DC.CD4_TCM	1	0	DC	CD4_TCM	Bladder_cDNA	DC	CD4_TCM	Myeloid_CD4	Myeloid	CD4
108	ACE2_GHRL	DC.CD4_Th1	1	0	DC	CD4_Th1	Bladder_cDNA	DC	CD4_Th1	Myeloid_CD4	Myeloid	CD4
109	ACE2_GHRL	DC.CD4_TRM	1	0	DC	CD4_TRM	Bladder_cDNA	DC	CD4_TRM	Myeloid_CD4	Myeloid	CD4
110	ACE2_GHRL	DC.CD8_TEFF	1	0	DC	CD8_TEFF	Bladder_cDNA	DC	CD8_TEFF	Myeloid_CD8	Myeloid	CD8
