,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene,cluster,cell type
651,0.00E+00,1.618758358,0.818,0.084,0.00E+00,SELL,14,CCR7_TN
652,0.00E+00,1.518300931,0.713,0.056,0.00E+00,CCR7,14,CCR7_TN
653,0.00E+00,1.455837426,0.758,0.073,0.00E+00,LEF1,14,CCR7_TN
654,6.67E-180,1.167048715,0.81,0.219,1.70E-175,LINC00861,14,CCR7_TN
655,3.52E-214,1.12743839,0.661,0.12,8.99E-210,TCF7,14,CCR7_TN
656,1.52E-90,1.000057453,0.302,0.055,3.87E-86,S100B,14,CCR7_TN
657,9.36E-133,0.997844985,0.786,0.255,2.39E-128,GIMAP7,14,CCR7_TN
658,9.89E-137,0.995443276,0.656,0.172,2.53E-132,NOSIP,14,CCR7_TN
659,8.62E-174,0.990136526,0.648,0.133,2.20E-169,FAM65B,14,CCR7_TN
660,2.57E-151,0.975603115,0.541,0.108,6.58E-147,PCED1B,14,CCR7_TN
661,1.04E-128,0.934351117,0.94,0.451,2.66E-124,LDHB,14,CCR7_TN
662,2.10E-126,0.929766578,0.756,0.236,5.35E-122,GIMAP4,14,CCR7_TN
663,1.38E-132,0.906863085,0.978,0.669,3.52E-128,RPL36A,14,CCR7_TN
664,0.00E+00,0.875905685,0.387,0.023,0.00E+00,MAL,14,CCR7_TN
665,4.61E-293,0.858882199,0.364,0.024,1.18E-288,C1orf228,14,CCR7_TN
666,8.17E-152,0.830045486,0.489,0.085,2.09E-147,AIF1,14,CCR7_TN
667,2.47E-278,0.812035307,0.367,0.026,6.31E-274,ACTN1,14,CCR7_TN
668,8.47E-101,0.809984007,0.788,0.286,2.17E-96,LTB,14,CCR7_TN
669,3.77E-180,0.805727539,0.429,0.057,9.64E-176,NELL2,14,CCR7_TN
670,3.14E-153,0.775146072,0.411,0.061,8.03E-149,MYC,14,CCR7_TN
671,7.75E-173,0.748264698,0.367,0.043,1.98E-168,LDLRAP1,14,CCR7_TN
672,8.43E-101,0.728227153,0.651,0.191,2.15E-96,TRAF3IP3,14,CCR7_TN
673,4.65E-79,0.725523992,0.9,0.445,1.19E-74,CD8B,14,CCR7_TN
674,4.58E-70,0.707958583,0.728,0.303,1.17E-65,PRMT2,14,CCR7_TN
675,3.35E-147,0.704271438,1,0.93,8.57E-143,RPL22,14,CCR7_TN
676,1.92E-165,0.692574844,0.314,0.033,4.90E-161,TXK,14,CCR7_TN
677,2.34E-180,0.691699125,0.304,0.028,5.98E-176,TRABD2A,14,CCR7_TN
678,2.02E-107,0.689701943,0.988,0.838,5.15E-103,EEF1B2,14,CCR7_TN
679,2.04E-100,0.684516325,0.374,0.072,5.20E-96,CISH,14,CCR7_TN
680,3.82E-178,0.674118818,1,0.992,9.77E-174,RPS8,14,CCR7_TN
681,4.60E-67,0.665148339,0.798,0.374,1.18E-62,LIMD2,14,CCR7_TN
682,5.68E-106,0.661887235,0.344,0.059,1.45E-101,ITGA6,14,CCR7_TN
683,1.25E-194,0.660268679,0.309,0.027,3.19E-190,NGFRAP1,14,CCR7_TN
684,2.03E-132,0.645027475,0.998,0.942,5.18E-128,RPL5,14,CCR7_TN
685,1.16E-148,0.628215297,0.279,0.029,2.96E-144,PDK1,14,CCR7_TN
686,1.30E-137,0.618269505,1,0.98,3.31E-133,RPS13,14,CCR7_TN
687,7.15E-60,0.613814984,0.875,0.503,1.83E-55,EIF3E,14,CCR7_TN
688,4.00E-141,0.60918191,1,0.979,1.02E-136,RPS3A,14,CCR7_TN
689,1.30E-125,0.607742965,1,0.961,3.33E-121,RPS5,14,CCR7_TN
690,5.72E-111,0.598488185,0.344,0.056,1.46E-106,S1PR1,14,CCR7_TN
691,6.16E-72,0.592448285,0.524,0.158,1.57E-67,GIMAP1,14,CCR7_TN
692,5.52E-55,0.591401509,0.758,0.362,1.41E-50,SNHG8,14,CCR7_TN
693,6.56E-57,0.591297801,0.788,0.371,1.68E-52,RP11-291B21.2,14,CCR7_TN
694,1.98E-76,0.587868161,0.968,0.748,5.05E-72,RPL7,14,CCR7_TN
695,2.00E-80,0.582750274,0.392,0.091,5.10E-76,GIMAP5,14,CCR7_TN
696,1.83E-51,0.581737375,0.539,0.207,4.69E-47,PIM1,14,CCR7_TN
697,6.31E-99,0.579050093,1,0.921,1.61E-94,RPL9,14,CCR7_TN
698,7.72E-156,0.578549526,1,0.992,1.97E-151,RPL32,14,CCR7_TN
699,4.84E-137,0.573775732,1,0.984,1.24E-132,RPS23,14,CCR7_TN
700,4.86E-101,0.571019577,0.998,0.914,1.24E-96,RPL10A,14,CCR7_TN
701,2.51E-107,2.833855038,0.787,0.422,6.40E-103,MT2A,15,MT2A_TEFF
702,5.77E-223,2.629038222,0.546,0.085,1.47E-218,MT1E,15,MT2A_TEFF
703,7.41E-83,2.612097933,0.577,0.241,1.89E-78,MT1X,15,MT2A_TEFF
704,4.68E-48,2.027511115,0.349,0.125,1.19E-43,MT1F,15,MT2A_TEFF
705,3.43E-105,1.575973748,0.21,0.023,8.76E-101,TRBV7-2,15,MT2A_TEFF
706,6.23E-113,1.458906688,0.315,0.047,1.59E-108,GNLY,15,MT2A_TEFF
707,0.00E+00,1.353025526,0.396,0.026,0.00E+00,FGFBP2,15,MT2A_TEFF
708,3.79E-87,1.299296901,0.732,0.322,9.68E-83,HSPA1A,15,MT2A_TEFF
709,1.06E-59,1.175235153,0.627,0.304,2.71E-55,HSPA1B,15,MT2A_TEFF
710,1.43E-85,1.162667126,0.465,0.137,3.65E-81,ITGB1,15,MT2A_TEFF
711,1.75E-75,1.016760157,0.627,0.25,4.48E-71,GZMH,15,MT2A_TEFF
712,1.47E-74,0.91252536,0.879,0.636,3.74E-70,NKG7,15,MT2A_TEFF
713,3.17E-38,0.845177585,0.803,0.6,8.10E-34,DNAJB1,15,MT2A_TEFF
714,9.55E-42,0.824316026,0.585,0.323,2.44E-37,PRF1,15,MT2A_TEFF
715,9.79E-14,0.76356462,0.543,0.442,2.50E-09,HSPE1,15,MT2A_TEFF
716,1.21E-17,0.762874521,0.11,0.031,3.10E-13,HSPA6,15,MT2A_TEFF
717,2.89E-37,0.742460098,0.911,0.804,7.38E-33,HSP90AA1,15,MT2A_TEFF
718,3.13E-50,0.739943485,0.612,0.282,7.99E-46,GZMB,15,MT2A_TEFF
719,3.55E-40,0.715326755,0.585,0.292,9.07E-36,KLF2,15,MT2A_TEFF
720,4.20E-02,0.657500283,0.32,0.313,1.00E+00,HSPD1,15,MT2A_TEFF
721,1.07E-31,0.655914501,0.682,0.439,2.75E-27,LGALS1,15,MT2A_TEFF
722,8.21E-08,0.601774213,0.336,0.245,2.10E-03,HSPH1,15,MT2A_TEFF
723,3.99E-19,0.590632449,0.291,0.146,1.02E-14,EFHD2,15,MT2A_TEFF
724,4.76E-25,0.559090593,0.129,0.032,1.22E-20,SLC30A1,15,MT2A_TEFF
725,9.02E-18,0.555676438,0.339,0.174,2.30E-13,TNF,15,MT2A_TEFF
726,4.84E-27,0.546420192,0.667,0.492,1.24E-22,EMP3,15,MT2A_TEFF
727,1.62E-18,0.543849712,0.234,0.101,4.15E-14,KLF3,15,MT2A_TEFF
728,4.02E-09,0.540163723,0.194,0.109,1.03E-04,ZFAND2A,15,MT2A_TEFF
729,6.88E-27,0.530300902,0.147,0.038,1.76E-22,ADGRG1,15,MT2A_TEFF
730,1.50E-16,0.514629418,0.459,0.299,3.84E-12,ITGB2,15,MT2A_TEFF
731,8.58E-37,0.512875793,0.942,0.828,2.19E-32,HSPA8,15,MT2A_TEFF
732,3.96E-22,0.512742965,0.732,0.604,1.01E-17,S100A10,15,MT2A_TEFF
733,1.75E-31,0.511656583,0.887,0.808,4.46E-27,S100A4,15,MT2A_TEFF
734,2.11E-46,0.505265263,0.123,0.018,5.39E-42,CX3CR1,15,MT2A_TEFF
735,6.15E-26,0.500290584,0.816,0.722,1.57E-21,S100A6,15,MT2A_TEFF
736,4.24E-13,0.489955669,0.37,0.24,1.08E-08,C12orf75,15,MT2A_TEFF
737,2.49E-16,0.485940652,0.173,0.068,6.35E-12,TGFBR3,15,MT2A_TEFF
738,1.37E-14,0.484601482,0.357,0.2,3.49E-10,IFNG,15,MT2A_TEFF
739,1.46E-12,0.48273735,0.223,0.114,3.73E-08,PLAC8,15,MT2A_TEFF
740,2.40E-05,0.479267679,0.155,0.097,6.13E-01,MRPL18,15,MT2A_TEFF
741,1.86E-16,0.473563091,0.465,0.291,4.75E-12,HLA-DRB1,15,MT2A_TEFF
742,8.01E-07,0.47235319,0.32,0.248,0.020462065,HSPB1,15,MT2A_TEFF
743,1.49E-11,0.467287193,0.433,0.32,3.79E-07,FLNA,15,MT2A_TEFF
744,2.52E-14,0.466967853,0.808,0.78,6.45E-10,HSP90AB1,15,MT2A_TEFF
745,7.70E-24,0.460691358,0.85,0.775,1.97E-19,UBB,15,MT2A_TEFF
746,4.29E-08,0.456951038,0.262,0.171,0.001096412,BCL3,15,MT2A_TEFF
747,6.11E-28,0.450147476,0.139,0.034,1.56E-23,C1orf21,15,MT2A_TEFF
748,2.59E-08,0.445579933,0.157,0.082,0.000661441,FKBP4,15,MT2A_TEFF
749,1.05E-11,0.442966091,0.192,0.093,2.67E-07,PLEK,15,MT2A_TEFF
750,3.52E-15,0.441788895,0.365,0.206,8.99E-11,KLRG1,15,MT2A_TEFF
751,0.00E+00,2.449816992,0.873,0.049,0,TRBV4-2,16,TRAV29DV5_TEFF
752,0.00E+00,1.920961577,0.739,0.05,0,TRAV29DV5,16,TRAV29DV5_TEFF
753,3.98E-140,1.416486715,0.94,0.341,1.02E-135,TRBC1,16,TRAV29DV5_TEFF
754,4.54E-124,1.299828924,0.828,0.249,1.16E-119,GZMH,16,TRAV29DV5_TEFF
755,1.20E-212,1.274282256,0.47,0.044,3.06E-208,FCGR3A,16,TRAV29DV5_TEFF
756,3.51E-148,1.236687088,0.627,0.112,8.96E-144,TRGV8,16,TRAV29DV5_TEFF
757,4.89E-111,1.226154859,0.989,0.636,1.25E-106,NKG7,16,TRAV29DV5_TEFF
758,2.63E-136,1.155302158,0.601,0.109,6.72E-132,HLA-DQA1,16,TRAV29DV5_TEFF
759,7.49E-92,1.022196149,0.571,0.137,1.91E-87,CMC1,16,TRAV29DV5_TEFF
760,1.48E-78,0.964348681,0.664,0.201,3.78E-74,KLRG1,16,TRAV29DV5_TEFF
761,3.47E-104,0.952959033,0.481,0.088,8.86E-100,PLEK,16,TRAV29DV5_TEFF
762,2.95E-36,0.931442113,0.291,0.078,7.53E-32,S100A8,16,TRAV29DV5_TEFF
763,2.80E-75,0.921169677,0.534,0.137,7.16E-71,TRG-AS1,16,TRAV29DV5_TEFF
764,1.47E-62,0.914840872,0.728,0.287,3.74E-58,HLA-DRB1,16,TRAV29DV5_TEFF
765,4.66E-63,0.884462266,0.66,0.243,1.19E-58,GIMAP4,16,TRAV29DV5_TEFF
766,1.50E-61,0.878697424,0.683,0.262,3.84E-57,GIMAP7,16,TRAV29DV5_TEFF
767,3.40E-70,0.877962722,0.877,0.394,8.70E-66,KLRD1,16,TRAV29DV5_TEFF
768,3.83E-117,0.870729249,0.347,0.043,9.80E-113,S1PR5,16,TRAV29DV5_TEFF
769,3.49E-71,0.865895397,0.959,0.564,8.92E-67,CST7,16,TRAV29DV5_TEFF
770,4.40E-59,0.843796814,0.69,0.271,1.13E-54,HLA-DPB1,16,TRAV29DV5_TEFF
771,5.47E-84,0.812575676,0.336,0.054,1.40E-79,FCRL6,16,TRAV29DV5_TEFF
772,1.58E-87,0.803167554,0.593,0.138,4.03E-83,TRGV9,16,TRAV29DV5_TEFF
773,1.12E-63,0.800165248,0.358,0.075,2.87E-59,EOMES,16,TRAV29DV5_TEFF
774,2.04E-53,0.790758383,0.47,0.141,5.20E-49,HLA-DRB5,16,TRAV29DV5_TEFF
775,2.33E-40,0.768660033,0.679,0.323,5.95E-36,PRF1,16,TRAV29DV5_TEFF
776,8.00E-45,0.750262578,0.739,0.373,2.04E-40,PSMB9,16,TRAV29DV5_TEFF
777,3.46E-36,0.746391253,0.407,0.14,8.84E-32,HLA-DRA,16,TRAV29DV5_TEFF
778,2.06E-30,0.73820499,0.485,0.214,5.26E-26,STAT1,16,TRAV29DV5_TEFF
779,9.12E-39,0.726883531,0.429,0.146,2.33E-34,TIGIT,16,TRAV29DV5_TEFF
780,1.07E-40,0.720005718,0.608,0.264,2.72E-36,HLA-DPA1,16,TRAV29DV5_TEFF
781,1.73E-37,0.71837698,0.892,0.641,4.43E-33,CD74,16,TRAV29DV5_TEFF
782,4.56E-50,0.707152973,0.843,0.451,1.17E-45,CD8B,16,TRAV29DV5_TEFF
783,4.06E-93,0.705125316,0.209,0.019,1.04E-88,TRAV22,16,TRAV29DV5_TEFF
784,9.40E-42,0.697830523,0.66,0.296,2.40E-37,ITGB2,16,TRAV29DV5_TEFF
785,4.63E-32,0.697239244,0.47,0.192,1.18E-27,ZBTB38,16,TRAV29DV5_TEFF
786,3.26E-40,0.694761517,0.388,0.116,8.32E-36,CCL3,16,TRAV29DV5_TEFF
787,3.61E-48,0.689386896,0.918,0.571,9.22E-44,CTSW,16,TRAV29DV5_TEFF
788,1.27E-33,0.675512408,0.44,0.168,3.24E-29,PYHIN1,16,TRAV29DV5_TEFF
789,2.73E-29,0.674722728,0.515,0.231,6.98E-25,LINC00861,16,TRAV29DV5_TEFF
790,1.08E-66,0.67448912,0.22,0.03,2.76E-62,FGR,16,TRAV29DV5_TEFF
791,6.67E-39,0.666700847,0.828,0.499,1.71E-34,GZMM,16,TRAV29DV5_TEFF
792,6.36E-30,0.663951993,0.567,0.278,1.63E-25,CTSC,16,TRAV29DV5_TEFF
793,3.80E-29,0.663344368,0.653,0.381,9.71E-25,LIMD2,16,TRAV29DV5_TEFF
794,5.78E-26,0.632873392,0.429,0.184,1.48E-21,DENND2D,16,TRAV29DV5_TEFF
795,9.44E-28,0.629304517,0.455,0.195,2.41E-23,GBP5,16,TRAV29DV5_TEFF
796,3.41E-29,0.625464728,0.358,0.13,8.72E-25,GBP1,16,TRAV29DV5_TEFF
797,2.19E-42,0.611585151,0.918,0.622,5.60E-38,CD8A,16,TRAV29DV5_TEFF
798,2.85E-26,0.609588287,0.556,0.275,7.28E-22,AC092580.4,16,TRAV29DV5_TEFF
799,2.59E-27,0.605498115,0.44,0.188,6.62E-23,APMAP,16,TRAV29DV5_TEFF
800,3.42E-27,0.593255741,0.354,0.131,8.74E-23,SYNE1,16,TRAV29DV5_TEFF
801,1.47E-244,2.027796754,0.449,0.034,3.75E-240,CCL20,17,CCL20_MAIT
802,3.13E-133,1.734851572,0.727,0.168,8.00E-129,TNF,17,CCL20_MAIT
803,3.02E-80,1.457883354,0.758,0.292,7.72E-76,LTB,17,CCL20_MAIT
804,3.21E-74,1.432245746,0.871,0.434,8.21E-70,GADD45B,17,CCL20_MAIT
805,3.51E-272,1.389349994,0.449,0.03,8.96E-268,CD40LG,17,CCL20_MAIT
806,3.54E-92,1.123895277,0.316,0.043,9.04E-88,GADD45G,17,CCL20_MAIT
807,5.97E-36,0.881586517,0.336,0.099,1.52E-31,IER3,17,CCL20_MAIT
808,1.88E-62,0.869699087,0.957,0.628,4.80E-58,IER2,17,CCL20_MAIT
809,4.01E-52,0.863133319,0.754,0.325,1.03E-47,HSPA1A,17,CCL20_MAIT
810,9.06E-49,0.82953953,0.719,0.305,2.32E-44,HSPA1B,17,CCL20_MAIT
811,1.49E-48,0.771476802,0.363,0.092,3.80E-44,AQP3,17,CCL20_MAIT
812,7.39E-40,0.751703095,0.859,0.488,1.89E-35,KLRB1,17,CCL20_MAIT
813,1.60E-37,0.727548738,0.559,0.217,4.09E-33,NR4A1,17,CCL20_MAIT
814,2.67E-41,0.72558486,0.812,0.455,6.83E-37,TUBB4B,17,CCL20_MAIT
815,3.63E-37,0.715442161,0.867,0.595,9.28E-33,ZFP36L1,17,CCL20_MAIT
816,7.06E-62,0.69639039,0.242,0.036,1.80E-57,CCR6,17,CCL20_MAIT
817,0.00E+00,0.691965314,0.191,0.002,0.00E+00,THY1,17,CCL20_MAIT
818,8.59E-44,0.670479438,0.953,0.807,2.19E-39,S100A4,17,CCL20_MAIT
819,9.27E-61,0.64032381,0.176,0.02,2.37E-56,SLC4A10,17,CCL20_MAIT
820,1.26E-51,0.625344772,0.223,0.036,3.23E-47,DPP4,17,CCL20_MAIT
821,1.58E-26,0.620889713,0.43,0.175,4.05E-22,HEXIM1,17,CCL20_MAIT
822,3.64E-25,0.615518139,0.879,0.621,9.30E-21,FOS,17,CCL20_MAIT
823,4.47E-31,0.605391627,0.797,0.448,1.14E-26,FOSB,17,CCL20_MAIT
824,8.58E-44,0.592450295,0.227,0.043,2.19E-39,TNFRSF25,17,CCL20_MAIT
825,2.06E-09,0.588664157,0.125,0.045,5.27E-05,TRBV20-1,17,CCL20_MAIT
826,2.21E-22,0.584910925,0.816,0.597,5.64E-18,ID2,17,CCL20_MAIT
827,7.53E-27,0.578029593,0.84,0.568,1.92E-22,JUN,17,CCL20_MAIT
828,3.13E-16,0.569461712,0.289,0.122,8.00E-12,NEU1,17,CCL20_MAIT
829,1.92E-21,0.545171463,0.422,0.18,4.92E-17,EGR1,17,CCL20_MAIT
830,5.95E-96,0.544857694,0.16,0.01,1.52E-91,IL23R,17,CCL20_MAIT
831,2.36E-23,0.542678566,0.863,0.601,6.02E-19,DNAJB1,17,CCL20_MAIT
832,2.18E-22,0.539517048,0.246,0.077,5.57E-18,SLAMF1,17,CCL20_MAIT
833,7.49E-18,0.527262201,0.266,0.102,1.91E-13,ATF7IP2,17,CCL20_MAIT
834,6.65E-25,0.523406371,0.156,0.034,1.70E-20,LTA,17,CCL20_MAIT
835,9.14E-12,0.500035099,0.602,0.406,2.34E-07,SQSTM1,17,CCL20_MAIT
836,2.30E-127,0.480139845,0.129,0.004,5.87E-123,TSPAN15,17,CCL20_MAIT
837,6.27E-82,0.478244546,0.148,0.011,1.60E-77,RORC,17,CCL20_MAIT
838,2.44E-17,0.471166293,0.426,0.21,6.22E-13,FLT3LG,17,CCL20_MAIT
839,3.61E-14,0.468327679,0.469,0.26,9.23E-10,H2AFX,17,CCL20_MAIT
840,8.42E-35,0.464800681,0.176,0.032,2.15E-30,ELK3,17,CCL20_MAIT
841,2.31E-18,0.460135056,0.148,0.039,5.90E-14,RUNX2,17,CCL20_MAIT
842,4.25E-19,0.459278582,0.223,0.073,1.09E-14,HIST2H2AA4,17,CCL20_MAIT
843,2.64E-15,0.459151078,0.594,0.381,6.74E-11,YWHAQ,17,CCL20_MAIT
844,3.84E-14,0.454755222,0.305,0.136,9.80E-10,KLF10,17,CCL20_MAIT
845,9.43E-17,0.454200741,0.41,0.198,2.41E-12,CCDC107,17,CCL20_MAIT
846,1.52E-18,0.452253597,0.23,0.079,3.90E-14,CISH,17,CCL20_MAIT
847,7.18E-24,0.450385673,0.871,0.613,1.84E-19,BRD2,17,CCL20_MAIT
848,1.48E-49,0.450192963,0.121,0.012,3.78E-45,FOXJ1,17,CCL20_MAIT
849,9.75E-12,0.448923889,0.742,0.597,2.49E-07,DDIT4,17,CCL20_MAIT
850,5.35E-16,0.447318903,0.73,0.542,1.37E-11,LAPTM5,17,CCL20_MAIT
851,3.87E-306,1.816342078,0.534,0.037,9.89E-302,TRDV1,18,TRDV1_¦Ã¦Ä
852,6.67E-306,1.54225891,0.644,0.056,1.70E-301,TRDC,18,TRDV1_¦Ã¦Ä
853,0.00E+00,1.43204922,0.451,0.02,0.00E+00,TRGV5,18,TRDV1_¦Ã¦Ä
854,1.85E-268,1.302137715,0.237,0.007,4.73E-264,TRDV3,18,TRDV1_¦Ã¦Ä
855,9.02E-112,1.240789931,0.625,0.136,2.30E-107,CMC1,18,TRDV1_¦Ã¦Ä
856,2.57E-146,1.218745126,0.332,0.03,6.58E-142,TYROBP,18,TRDV1_¦Ã¦Ä
857,3.21E-108,1.112069024,0.538,0.104,8.19E-104,KLRC3,18,TRDV1_¦Ã¦Ä
858,3.71E-191,1.100413564,0.368,0.028,9.48E-187,KLRF1,18,TRDV1_¦Ã¦Ä
859,2.94E-76,0.958190371,0.909,0.393,7.50E-72,KLRD1,18,TRDV1_¦Ã¦Ä
860,2.18E-71,0.908582208,0.514,0.128,5.58E-67,LYST,18,TRDV1_¦Ã¦Ä
861,1.55E-67,0.901561363,0.648,0.202,3.96E-63,KLRG1,18,TRDV1_¦Ã¦Ä
862,1.44E-83,0.87423015,0.324,0.048,3.68E-79,FCGR3A,18,TRDV1_¦Ã¦Ä
863,1.90E-64,0.848490541,0.957,0.565,4.86E-60,CST7,18,TRDV1_¦Ã¦Ä
864,1.81E-65,0.836399816,0.964,0.637,4.63E-61,NKG7,18,TRDV1_¦Ã¦Ä
865,6.60E-74,0.806834311,0.34,0.059,1.69E-69,IKZF2,18,TRDV1_¦Ã¦Ä
866,1.05E-78,0.80064539,0.292,0.042,2.69E-74,TRGV3,18,TRDV1_¦Ã¦Ä
867,3.39E-75,0.745263489,0.261,0.035,8.67E-71,FCRL3,18,TRDV1_¦Ã¦Ä
868,1.36E-60,0.741422283,0.395,0.089,3.47E-56,NCR3,18,TRDV1_¦Ã¦Ä
869,8.73E-56,0.74012312,0.443,0.112,2.23E-51,HLA-DQA1,18,TRDV1_¦Ã¦Ä
870,3.45E-44,0.715763158,0.688,0.288,8.82E-40,HLA-DRB1,18,TRDV1_¦Ã¦Ä
871,4.44E-55,0.706442955,0.387,0.09,1.13E-50,PLEK,18,TRDV1_¦Ã¦Ä
872,3.10E-82,0.704935053,0.308,0.044,7.91E-78,S1PR5,18,TRDV1_¦Ã¦Ä
873,5.81E-33,0.698559963,0.352,0.113,1.49E-28,PLAC8,18,TRDV1_¦Ã¦Ä
874,8.83E-26,0.675857447,0.336,0.117,2.26E-21,CCL3,18,TRDV1_¦Ã¦Ä
875,2.96E-47,0.651780664,0.988,0.858,7.56E-43,IFITM1,18,TRDV1_¦Ã¦Ä
876,4.13E-37,0.650968474,0.905,0.641,1.05E-32,CD74,18,TRDV1_¦Ã¦Ä
877,2.31E-44,0.646936832,0.968,0.743,5.91E-40,IFITM2,18,TRDV1_¦Ã¦Ä
878,1.14E-31,0.644810948,0.502,0.201,2.92E-27,AOAH,18,TRDV1_¦Ã¦Ä
879,2.57E-26,0.642424561,0.735,0.448,6.57E-22,PIK3R1,18,TRDV1_¦Ã¦Ä
880,7.67E-39,0.641844893,0.905,0.572,1.96E-34,CTSW,18,TRDV1_¦Ã¦Ä
881,1.70E-47,0.641398007,0.332,0.076,4.34E-43,EOMES,18,TRDV1_¦Ã¦Ä
882,7.77E-31,0.625681813,0.411,0.147,1.98E-26,TIGIT,18,TRDV1_¦Ã¦Ä
883,8.06E-18,0.625439862,0.324,0.137,2.06E-13,CRTAM,18,TRDV1_¦Ã¦Ä
884,5.11E-39,0.624929742,0.443,0.141,1.30E-34,HLA-DRB5,18,TRDV1_¦Ã¦Ä
885,1.17E-25,0.623952942,0.474,0.208,2.99E-21,IL2RB,18,TRDV1_¦Ã¦Ä
886,2.69E-33,0.621188121,0.462,0.168,6.88E-29,PYHIN1,18,TRDV1_¦Ã¦Ä
887,1.96E-61,0.620257177,0.166,0.018,5.00E-57,KIR3DL2,18,TRDV1_¦Ã¦Ä
888,5.28E-25,0.61729195,0.534,0.246,1.35E-20,GIMAP4,18,TRDV1_¦Ã¦Ä
889,1.73E-22,0.615852553,0.462,0.215,4.42E-18,STAT1,18,TRDV1_¦Ã¦Ä
890,1.41E-85,0.611185705,0.209,0.02,3.61E-81,LAT2,18,TRDV1_¦Ã¦Ä
891,5.02E-16,0.607187145,0.265,0.107,1.28E-11,BCL2A1,18,TRDV1_¦Ã¦Ä
892,1.86E-35,0.600754805,0.324,0.091,4.76E-31,CD160,18,TRDV1_¦Ã¦Ä
893,2.23E-23,0.591842248,0.565,0.275,5.69E-19,XCL1,18,TRDV1_¦Ã¦Ä
894,1.31E-28,0.587638279,0.423,0.16,3.35E-24,TRGC2,18,TRDV1_¦Ã¦Ä
895,1.29E-29,0.575357037,0.462,0.184,3.30E-25,DENND2D,18,TRDV1_¦Ã¦Ä
896,2.04E-18,0.572635761,0.822,0.69,5.21E-14,DUSP2,18,TRDV1_¦Ã¦Ä
897,4.26E-25,0.568394045,0.597,0.285,1.09E-20,XCL2,18,TRDV1_¦Ã¦Ä
898,6.66E-22,0.566427974,0.609,0.325,1.70E-17,PRF1,18,TRDV1_¦Ã¦Ä
899,9.60E-28,0.547680395,0.348,0.116,2.45E-23,HLA-DQB1,18,TRDV1_¦Ã¦Ä
900,3.84E-27,0.538279759,0.621,0.297,9.82E-23,ITGB2,18,TRDV1_¦Ã¦Ä
901,4.00E-46,1.291790763,0.22,0.038,1.02E-41,TRBV7-9,19,TRBV7-9_IEL
902,8.00E-52,1.165500339,0.127,0.012,2.04E-47,TRBV14,19,TRBV7-9_IEL
903,7.08E-46,1.152824575,0.167,0.023,1.81E-41,TRAV12-3,19,TRBV7-9_IEL
904,5.84E-90,1.009429501,0.588,0.137,1.49E-85,TMI¦Ã¦Ä2,19,TRBV7-9_IEL
905,1.05E-60,0.922268364,0.522,0.15,2.69E-56,BATF,19,TRBV7-9_IEL
906,4.79E-74,0.905857655,0.735,0.232,1.22E-69,CAPG,19,TRBV7-9_IEL
907,3.74E-29,0.892575734,0.159,0.031,9.55E-25,TRBV19,19,TRBV7-9_IEL
908,2.22E-52,0.891727756,0.776,0.353,5.66E-48,NR3C1,19,TRBV7-9_IEL
909,8.64E-58,0.836183686,0.759,0.296,2.21E-53,ANKRD28,19,TRBV7-9_IEL
910,2.24E-49,0.781663507,0.898,0.574,5.73E-45,COTL1,19,TRBV7-9_IEL
911,4.74E-46,0.774543407,0.608,0.223,1.21E-41,ITGAE,19,TRBV7-9_IEL
912,1.84E-49,0.748607144,0.918,0.553,4.69E-45,ALOX5AP,19,TRBV7-9_IEL
913,9.76E-50,0.736141352,0.335,0.075,2.49E-45,TIFA,19,TRBV7-9_IEL
914,1.92E-45,0.727965311,0.673,0.263,4.90E-41,ZEB2,19,TRBV7-9_IEL
915,1.64E-101,0.698210325,0.229,0.019,4.18E-97,CHN1,19,TRBV7-9_IEL
916,3.43E-34,0.698184664,0.702,0.345,8.75E-30,CCNH,19,TRBV7-9_IEL
917,5.37E-39,0.676479693,0.347,0.094,1.37E-34,JMY,19,TRBV7-9_IEL
918,5.25E-61,0.674390971,0.245,0.036,1.34E-56,LAYN,19,TRBV7-9_IEL
919,2.63E-27,0.666673435,0.38,0.136,6.72E-23,CRTAM,19,TRBV7-9_IEL
920,4.07E-24,0.66243808,0.592,0.298,1.04E-19,AIM1,19,TRBV7-9_IEL
921,1.01E-14,0.658354558,0.102,0.024,2.58E-10,TRAV16,19,TRBV7-9_IEL
922,9.44E-32,0.654649632,0.314,0.091,2.41E-27,KIR2DL4,19,TRBV7-9_IEL
923,2.15E-42,0.650825728,0.302,0.07,5.49E-38,CTLA4,19,TRBV7-9_IEL
924,8.15E-31,0.646212679,0.461,0.177,2.08E-26,FKBP5,19,TRBV7-9_IEL
925,2.02E-38,0.640332694,0.555,0.203,5.16E-34,LDLRAD4,19,TRBV7-9_IEL
926,4.00E-31,0.624580653,0.576,0.245,1.02E-26,RNF19A,19,TRBV7-9_IEL
927,9.20E-28,0.60391232,0.596,0.276,2.35E-23,MGAT4A,19,TRBV7-9_IEL
928,2.58E-25,0.603280755,0.335,0.116,6.58E-21,CXCR6,19,TRBV7-9_IEL
929,6.55E-34,0.602034602,0.343,0.1,1.67E-29,JCHAIN,19,TRBV7-9_IEL
930,4.34E-37,0.596073287,0.335,0.091,1.11E-32,CD160,19,TRBV7-9_IEL
931,6.98E-28,0.59304586,0.543,0.24,1.78E-23,PDE4D,19,TRBV7-9_IEL
